"PVWatts Hourly PV Performance Data"
"Requested Location","Moscow"
"Location","Lat, Lng: 55.77, 37.62"
"Latitude (DD)","55.77"
"Longitude (DD)","37.62"
"Elevation (m)","160"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-15.4","2.1","0.2","0","-15.4","0","0"
"1","1","1","0","0","-16.5","2","0.2","0","-16.5","0","0"
"1","1","2","0","0","-17.6","1.8","0.2","0","-17.6","0","0"
"1","1","3","0","0","-18.5","1.7","0.2","0","-18.5","0","0"
"1","1","4","0","0","-11.8","2.2","0.2","0","-11.8","0","0"
"1","1","5","0","0","-11.2","2.5","0.2","0","-11.2","0","0"
"1","1","6","0","0","-10.5","2.9","0.2","0","-10.5","0","0"
"1","1","7","0","0","-9.9","3.7","0.2","0","-9.9","0","0"
"1","1","8","0","0","-9.6","4.4","0.2","0","-9.6","0","0"
"1","1","9","0","0","-9.5","5","0.2","0","-9.5","0","0"
"1","1","10","0","2","-9.1","5.4","0.2","1.903","-9.076","3.958","0"
"1","1","11","0","23","-8.7","5.6","0.2","21.358","-8.402","72.002","53.596"
"1","1","12","0","23","-8.2","5.9","0.2","21.347","-7.91","73.927","55.453"
"1","1","13","0","41","-7.6","5.9","0.2","38.116","-7.082","135.17","114.526"
"1","1","14","0","22","-7.2","5.8","0.2","20.417","-6.92","70.376","52.028"
"1","1","15","0","20","-6.9","5.8","0.2","18.563","-6.647","62.176","44.119"
"1","1","16","0","15","-6.6","6","0.2","13.935","-6.439","31.093","14.137"
"1","1","17","0","0","-6.2","6.2","0.2","0","-6.2","0","0"
"1","1","18","0","0","-5.7","6.5","0.2","0","-5.7","0","0"
"1","1","19","0","0","-5.4","6.8","0.2","0","-5.4","0","0"
"1","1","20","0","0","-5.5","6.6","0.2","0","-5.5","0","0"
"1","1","21","0","0","-5.6","6.8","0.2","0","-5.6","0","0"
"1","1","22","0","0","-5.7","6.9","0.2","0","-5.7","0","0"
"1","1","23","0","0","-5.8","6.9","0.2","0","-5.8","0","0"
"1","2","0","0","0","-6.1","6.9","0.2","0","-6.1","0","0"
"1","2","1","0","0","-6.1","6.8","0.2","0","-6.1","0","0"
"1","2","2","0","0","-6","6.9","0.2","0","-6","0","0"
"1","2","3","0","0","-6","6.7","0.2","0","-6","0","0"
"1","2","4","0","0","-6","6.6","0.2","0","-6","0","0"
"1","2","5","0","0","-6","6.5","0.2","0","-6","0","0"
"1","2","6","0","0","-6","6.5","0.2","0","-6","0","0"
"1","2","7","0","0","-6.1","6.6","0.2","0","-6.1","0","0"
"1","2","8","0","0","-6.2","6.6","0.2","0","-6.2","0","0"
"1","2","9","0","0","-6.4","6.5","0.2","0","-6.4","0","0"
"1","2","10","0","2","-6.6","6.3","0.2","1.851","-6.579","3.791","0"
"1","2","11","0","8","-6.5","6.1","0.2","7.413","-6.402","23.775","7.079"
"1","2","12","1","60","-6.2","5.9","0.2","61.183","-5.37","218.205","194.619"
"1","2","13","9","117","-5.8","5.7","0.2","143.533","-3.804","526.563","492.051"
"1","2","14","1","67","-5.4","5.5","0.2","69.779","-4.408","249.417","224.725"
"1","2","15","0","42","-5.1","5.3","0.2","41.981","-4.492","144.035","123.077"
"1","2","16","0","7","-4.9","5","0.2","6.488","-4.815","13.917","0"
"1","2","17","0","0","-4.8","5","0.2","0","-4.8","0","0"
"1","2","18","0","0","-4.7","4.9","0.2","0","-4.7","0","0"
"1","2","19","0","0","-4.7","4.7","0.2","0","-4.7","0","0"
"1","2","20","0","0","-5","4.6","0.2","0","-5","0","0"
"1","2","21","0","0","-5.2","4.4","0.2","0","-5.2","0","0"
