"PVWatts Hourly PV Performance Data"
"Requested Location","Paris"
"Location","Lat, Lng: 48.85, 2.34"
"Latitude (DD)","48.85"
"Longitude (DD)","2.34"
"Elevation (m)","49"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6.6","1.1","0.2","0","6.6","0","0"
"1","1","1","0","0","0.8","1.4","0.2","0","0.8","0","0"
"1","1","2","0","0","0.9","1.6","0.2","0","0.9","0","0"
"1","1","3","0","0","1.1","1.6","0.2","0","1.1","0","0"
"1","1","4","0","0","1.2","1.6","0.2","0","1.2","0","0"
"1","1","5","0","0","1.3","1.6","0.2","0","1.3","0","0"
"1","1","6","0","0","1.4","1.6","0.2","0","1.4","0","0"
"1","1","7","0","0","1.4","1.7","0.2","0","1.4","0","0"
"1","1","8","0","0","1.3","1.9","0.2","0","1.3","0","0"
"1","1","9","0","7","1.6","2.4","0.2","6.486","1.74","18.028","1.535"
"1","1","10","0","29","2","2.7","0.2","26.93","2.573","90.543","71.48"
"1","1","11","566","72","2.6","2.7","0.2","422.358","11.667","1547.765","1477.068"
"1","1","12","626","78","3.4","2.6","0.2","495.435","14.232","1804.674","1724.873"
"1","1","13","631","79","4.1","2.6","0.2","496.156","14.947","1802.541","1722.816"
"1","1","14","589","74","4.6","2.4","0.2","427.878","14.3","1552.285","1481.427"
"1","1","15","487","60","4.4","2","0.2","298.702","11.655","1050.996","997.901"
"1","1","16","0","7","3.8","1.6","0.2","6.487","3.945","12.797","0"
"1","1","17","0","0","3.5","2","0.2","0","3.5","0","0"
"1","1","18","0","0","3.6","2.1","0.2","0","3.6","0","0"
"1","1","19","0","0","3.5","2.1","0.2","0","3.5","0","0"
"1","1","20","0","0","3.5","2.1","0.2","0","3.5","0","0"
"1","1","21","0","0","3.4","2.2","0.2","0","3.4","0","0"
"1","1","22","0","0","3.4","2.2","0.2","0","3.4","0","0"
"1","1","23","0","0","3.3","2.2","0.2","0","3.3","0","0"
"1","2","0","0","0","3.2","2.1","0.2","0","3.2","0","0"
"1","2","1","0","0","3.3","2","0.2","0","3.3","0","0"
"1","2","2","0","0","3.4","1.8","0.2","0","3.4","0","0"
"1","2","3","0","0","3.4","1.6","0.2","0","3.4","0","0"
"1","2","4","0","0","3.5","1.5","0.2","0","3.5","0","0"
"1","2","5","0","0","3.6","1.3","0.2","0","3.6","0","0"
"1","2","6","0","0","3.7","1.2","0.2","0","3.7","0","0"
"1","2","7","0","0","3.8","1.1","0.2","0","3.8","0","0"
"1","2","8","0","0","4.1","1.3","0.2","0","4.1","0","0"
