"PVWatts Hourly PV Performance Data"
"Requested Location","Rabat"
"Location","Lat, Lng: 34.01, -6.82"
"Latitude (DD)","34.01"
"Longitude (DD)","-6.82"
"Elevation (m)","21"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","13.9","1.8","0.2","0","13.9","0","0"
"1","1","1","0","0","13.9","1.8","0.2","0","13.9","0","0"
"1","1","2","0","0","13.6","2","0.2","0","13.6","0","0"
"1","1","3","0","0","13.3","2.3","0.2","0","13.3","0","0"
"1","1","4","0","0","13.2","2.6","0.2","0","13.2","0","0"
"1","1","5","0","0","13.3","3","0.2","0","13.3","0","0"
"1","1","6","0","0","13.5","3.5","0.2","0","13.5","0","0"
"1","1","7","0","0","13.7","4.1","0.2","0","13.7","0","0"
"1","1","8","0","7","14.2","4.9","0.2","6.486","14.299","19.145","2.612"
"1","1","9","0","34","14.7","5.1","0.2","31.582","15.173","102.339","82.858"
"1","1","10","36","225","15.2","5.2","0.2","264.358","19.109","911.601","863.445"
"1","1","11","0","161","15.5","5.1","0.2","155.321","17.82","525.102","490.641"
"1","1","12","13","246","15.7","5","0.2","255.636","19.565","871.226","824.5"
"1","1","13","0","161","16","4.8","0.2","155.287","18.409","523.691","489.28"
"1","1","14","40","259","16.1","4.5","0.2","294.907","20.87","1012.714","960.975"
"1","1","15","2","153","16.1","4","0.2","156.268","18.812","532.346","497.629"
"1","1","16","0","25","15.7","3.2","0.2","23.21","16.153","72.345","53.927"
"1","1","17","186","16","14.9","2.6","0.2","0","14.9","0","0"
"1","1","18","0","0","14.6","2.4","0.2","0","14.6","0","0"
"1","1","19","0","0","14.5","2.5","0.2","0","14.5","0","0"
"1","1","20","0","0","14.4","2.7","0.2","0","14.4","0","0"
"1","1","21","0","0","14.3","2.7","0.2","0","14.3","0","0"
"1","1","22","0","0","14.2","2.6","0.2","0","14.2","0","0"
"1","1","23","0","0","14","2.4","0.2","0","14","0","0"
"1","2","0","0","0","13.9","2.2","0.2","0","13.9","0","0"
"1","2","1","0","0","13.8","2.1","0.2","0","13.8","0","0"
"1","2","2","0","0","13.7","2.1","0.2","0","13.7","0","0"
"1","2","3","0","0","13.6","2.2","0.2","0","13.6","0","0"
"1","2","4","0","0","13.5","2.3","0.2","0","13.5","0","0"
"1","2","5","0","0","13.5","2.1","0.2","0","13.5","0","0"
"1","2","6","0","0","13.4","1.8","0.2","0","13.4","0","0"
"1","2","7","0","0","13.5","1.6","0.2","0","13.5","0","0"
"1","2","8","0","30","14.2","1.5","0.2","27.869","14.951","87.881","68.913"
"1","2","9","4","117","15.1","1.6","0.2","116.997","18.204","395.504","365.636"
"1","2","10","391","175","15.8","1.5","0.2","464.328","28.428","1584.307","1512.314"
"1","2","11","283","237","16.4","1.6","0.2","486.957","29.322","1642.238","1568.193"
"1","2","12","164","267","16.9","2.2","0.2","424.173","26.827","1432.946","1366.317"
"1","2","13","286","246","17","2.9","0.2","500.373","27.322","1700.648","1624.533"
"1","2","14","879","67","16.7","3.5","0.2","685.797","29.587","2355.104","2255.799"
"1","2","15","14","175","16.1","3.6","0.2","188.466","19.572","644.752","606.052"
"1","2","16","0","42","15","3.2","0.2","39.419","15.769","126.181","105.856"
"1","2","17","143","17","13.6","2.8","0.2","0","13.6","0","0"
"1","2","18","0","0","13.1","2.8","0.2","0","13.1","0","0"
"1","2","19","0","0","12.8","2.7","0.2","0","12.8","0","0"
"1","2","20","0","0","12.5","2.7","0.2","0","12.5","0","0"
"1","2","21","0","0","12.3","2.6","0.2","0","12.3","0","0"
"1","2","22","0","0","12.2","2.5","0.2","0","12.2","0","0"
"1","2","23","0","0","12.1","2.4","0.2","0","12.1","0","0"
