"PVWatts Hourly PV Performance Data"
"Requested Location","Santiago"
"Location","Lat, Lng: -20.99, -70.38"
"Latitude (DD)","-20.99"
"Longitude (DD)","-70.38"
"Elevation (m)","0"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","20","2.4","0.01","0","20","0","0"
"1","1","1","0","0","20","3","0.01","0","20","0","0"
"1","1","2","0","0","20","3.7","0.01","0","20","0","0"
"1","1","3","0","0","20","3.9","0.01","0","20","0","0"
"1","1","4","0","0","20","3.7","0.01","0","20","0","0"
"1","1","5","0","24","20","3.2","0.01","22.062","20.413","58.153","40.238"
"1","1","6","27","118","20","2.5","0.01","110.494","22.439","362.163","333.476"
"1","1","7","43","219","20","2","0.01","217.258","25.282","721.387","679.971"
"1","1","8","914","107","21","1.9","0.01","665.669","37.562","2175.714","2082.765"
"1","1","9","972","111","21","2.6","0.01","858.766","39.626","2759.412","2645.781"
"1","1","10","1003","113","22","3.7","0.01","989.897","39.891","3156.299","3028.605"
"1","1","11","537","415","22","4.4","0.01","891.074","36.526","2853.536","2736.57"
"1","1","12","493","449","22","4.6","0.01","873.213","35.855","2803.023","2687.847"
"1","1","13","549","355","22","4.6","0.01","794.21","34.62","2576.823","2469.661"
"1","1","14","124","393","22","4.5","0.01","451.343","29.262","1484.668","1416.206"
"1","1","15","124","293","22","4.3","0.01","332.878","27.52","1107.845","1052.735"
"1","1","16","110","184","21","4","0.01","198.56","24.429","654.69","615.637"
"1","1","17","67","76","21","3.8","0.01","69.529","22.225","214.465","191.011"
"1","1","18","0","0","21","3.6","0.01","0","21","0","0"
"1","1","19","0","0","21","3.1","0.01","0","21","0","0"
"1","1","20","0","0","20","2.5","0.01","0","20","0","0"
"1","1","21","0","0","20","2.4","0.01","0","20","0","0"
"1","1","22","0","0","20","2.2","0.01","0","20","0","0"
"1","1","23","0","0","20","1.9","0.01","0","20","0","0"
"1","2","0","0","0","20","1.6","0.01","0","20","0","0"
"1","2","1","0","0","20","1.4","0.01","0","20","0","0"
"1","2","2","0","0","20","1.7","0.01","0","20","0","0"
"1","2","3","0","0","20","2.1","0.01","0","20","0","0"
"1","2","4","0","0","20","1.8","0.01","0","20","0","0"
"1","2","5","0","20","20","1.4","0.01","18.486","20.486","47.324","29.793"
"1","2","6","0","108","21","1.9","0.01","97.827","23.435","321.673","294.421"
"1","2","7","18","197","21","2.8","0.01","187.732","24.928","621.569","583.69"
"1","2","8","25","278","22","3.5","0.01","271.529","27.049","891.612","844.164"
"1","2","9","29","345","22","4.2","0.01","343.34","27.744","1121.377","1065.788"
"1","2","10","478","396","22","4.6","0.01","795.962","34.636","2573.656","2466.607"
"1","2","11","479","418","22","4.5","0.01","840.486","35.514","2701.694","2590.108"
"1","2","12","435","452","22","4.2","0.01","823.716","35.799","2643.764","2534.231"
"1","2","13","456","385","22","3.8","0.01","744.813","35.233","2407.14","2305.991"
"1","2","14","891","135","22","3.6","0.01","755.757","35.896","2473.015","2369.532"
"1","2","15","822","120","22","3.5","0.01","543.266","32.171","1819.588","1739.259"
"1","2","16","697","99","22","3.6","0.01","303.533","27.486","952.762","903.148"
"1","2","17","442","64","22","3.8","0.01","84.799","23.392","210.452","187.141"
"1","2","18","0","0","21","4","0.01","0","21","0","0"
"1","2","19","0","0","21","4.1","0.01","0","21","0","0"
"1","2","20","0","0","21","4","0.01","0","21","0","0"
"1","2","21","0","0","21","3.9","0.01","0","21","0","0"
"1","2","22","0","0","21","3.7","0.01","0","21","0","0"
"1","2","23","0","0","20","3.5","0.01","0","20","0","0"
"1","3","0","0","0","20","3","0.01","0","20","0","0"
"1","3","1","0","0","20","2.4","0.01","0","20","0","0"
"1","3","2","0","0","20","2","0.01","0","20","0","0"
"1","3","3","0","0","20","2.1","0.01","0","20","0","0"
"1","3","4","0","0","20","2.3","0.01","0","20","0","0"
"1","3","5","68","30","20","2.5","0.01","24.124","20.502","61.068","43.049"
"1","3","6","275","120","21","2.7","0.01","156.034","24.249","474.548","441.879"
"1","3","7","343","218","21","2.8","0.01","340.195","28.11","1126.796","1071.015"
"1","3","8","372","312","21","3","0.01","517.468","31.461","1711.138","1634.651"
"1","3","9","369","405","22","3.5","0.01","664.28","34.355","2156.159","2063.904"
"1","3","10","390","444","22","4.4","0.01","761.608","34.413","2460.243","2357.212"
"1","3","11","976","133","22","5.3","0.01","1028.988","36.977","3308.661","3175.567"
"1","3","12","980","128","22","5.7","0.01","1014.836","36.09","3277.665","3145.67"
"1","3","13","945","134","22","5.6","0.01","918.007","34.905","2992.589","2870.695"
"1","3","14","912","123","22","5.1","0.01","759.949","33.368","2512.331","2407.455"
"1","3","15","850","109","22","4.6","0.01","549.168","30.783","1850.421","1768.999"
"1","3","16","734","90","22","4.2","0.01","308.075","27.098","967.402","917.269"
"1","3","17","494","58","21","3.8","0.01","83.838","22.353","199.832","176.896"
"1","3","18","0","0","21","3.4","0.01","0","21","0","0"
"1","3","19","0","0","21","2.8","0.01","0","21","0","0"
"1","3","20","0","0","21","2","0.01","0","21","0","0"
"1","3","21","0","0","20","1.4","0.01","0","20","0","0"
"1","3","22","0","0","20","1.3","0.01","0","20","0","0"
"1","3","23","0","0","20","1.6","0.01","0","20","0","0"
"1","4","0","0","0","20","1.8","0.01","0","20","0","0"
"1","4","1","0","0","20","1.9","0.01","0","20","0","0"
"1","4","2","0","0","20","1.9","0.01","0","20","0","0"
"1","4","3","0","0","20","1.8","0.01","0","20","0","0"
"1","4","4","0","0","20","1.7","0.01","0","20","0","0"
"1","4","5","222","29","20","1.8","0.01","22.067","20.522","54.014","36.245"
"1","4","6","616","78","21","2","0.01","181.284","25.183","502.209","468.56"
"1","4","7","794","101","21","2.4","0.01","422.109","30.47","1384.952","1320.023"
"1","4","8","892","114","22","3.1","0.01","655.994","35.079","2165.118","2072.545"
"1","4","9","949","121","22","4","0.01","848.851","36.697","2759.268","2645.642"
"1","4","10","995","115","22","4.9","0.01","984.76","37.074","3175.425","3047.053"
"1","4","11","1006","116","23","5.5","0.01","1042.031","37.809","3340.111","3205.904"
"1","4","12","1002","115","23","5.7","0.01","1024.06","37.219","3293.229","3160.682"
"1","4","13","974","118","22","5.6","0.01","928.91","35.06","3027.017","2903.904"
"1","4","14","937","112","22","5.3","0.01","768.962","33.224","2544.252","2438.245"
"1","4","15","871","101","22","4.9","0.01","554.292","30.527","1870.306","1788.18"
"1","4","16","753","85","22","4.5","0.01","312.637","26.965","982.867","932.186"
"1","4","17","513","56","21","4","0.01","84.392","22.314","198.091","175.218"
"1","4","18","0","0","21","3.3","0.01","0","21","0","0"
"1","4","19","0","0","21","2.6","0.01","0","21","0","0"
"1","4","20","0","0","21","1.9","0.01","0","21","0","0"
"1","4","21","0","0","20","1.6","0.01","0","20","0","0"
"1","4","22","0","0","20","1.6","0.01","0","20","0","0"
"1","4","23","0","0","20","2","0.01","0","20","0","0"
"1","5","0","0","0","20","2.2","0.01","0","20","0","0"
"1","5","1","0","0","20","2.2","0.01","0","20","0","0"
"1","5","2","0","0","20","2","0.01","0","20","0","0"
"1","5","3","0","0","20","1.7","0.01","0","20","0","0"
"1","5","4","0","0","20","1.7","0.01","0","20","0","0"
"1","5","5","248","27","20","1.8","0.01","21.165","20.494","49.903","32.281"
