"PVWatts Hourly PV Performance Data"
"Requested Location","unalaska"
"Location","Lat, Lng: 53.89, -166.54"
"Latitude (DD)","53.89"
"Longitude (DD)","-166.54"
"Elevation (m)","0"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","2","7.5","0.87","0","2","0","0"
"1","1","1","0","0","2","7.1","0.87","0","2","0","0"
"1","1","2","0","0","2","6.8","0.87","0","2","0","0"
"1","1","3","0","0","2","6.6","0.87","0","2","0","0"
"1","1","4","0","0","2","6.5","0.87","0","2","0","0"
"1","1","5","0","0","2","6.3","0.87","0","2","0","0"
"1","1","6","0","0","2","6","0.87","0","2","0","0"
"1","1","7","0","0","2","5.5","0.87","0","2","0","0"
"1","1","8","0","0","2","5.1","0.87","0","2","0","0"
"1","1","9","0","0","2","4.9","0.87","0","2","0","0"
"1","1","10","0","0","2","4.6","0.87","0","0","0","0"
"1","1","11","0","12","2","4.3","0.87","11.324","2.184","33.913","16.857"
"1","1","12","0","33","3","4","0.87","31.202","3.538","103.907","84.371"
"1","1","13","46","83","3","4.1","0.87","117.515","5.008","416.513","385.9"
"1","1","14","0","23","3","4.3","0.87","21.723","3.36","72.123","53.713"
"1","1","15","0","27","3","4.3","0.87","25.511","3.422","84.727","65.87"
"1","1","16","0","14","3","4.1","0.87","13.213","3.223","41.464","24.141"
"1","1","17","0","3","2","3.9","0.87","2.854","2.042","5.371","0"
"1","1","18","0","0","2","3.6","0.87","0","2","0","0"
"1","1","19","0","0","2","3.3","0.87","0","2","0","0"
"1","1","20","0","0","2","3","0.87","0","2","0","0"
"1","1","21","0","0","3","2.6","0.87","0","3","0","0"
