"PVWatts Hourly PV Performance Data"
"Requested Location","Athens"
"Location","Lat, Lng: 37.97, 23.74"
"Latitude (DD)","37.97"
"Longitude (DD)","23.74"
"Elevation (m)","140"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","5.8","2.5","0.2","0","5.8","0","0"
"1","1","1","0","0","5.5","2.5","0.2","0","5.5","0","0"
"1","1","2","0","0","5","10.6","0.2","0","5","0","0"
"1","1","3","0","0","5","10.8","0.2","0","5","0","0"
"1","1","4","0","0","4.9","10.9","0.2","0","4.9","0","0"
"1","1","5","0","0","4.8","10.9","0.2","0","4.8","0","0"
"1","1","6","0","0","4.5","11","0.2","0","4.5","0","0"
"1","1","7","0","0","4.3","11.2","0.2","0","4.3","0","0"
"1","1","8","0","3","4.2","11.5","0.2","2.778","4.223","8.129","0"
"1","1","9","0","5","4.4","11.7","0.2","4.635","4.438","14.458","0"
"1","1","10","17","171","4.6","11.7","0.2","182.749","6.103","656.28","617.171"
"1","1","11","4","130","4.9","11.4","0.2","127.631","5.97","450.809","418.981"
"1","1","12","0","81","5.1","11","0.2","75.434","5.75","261.13","236.023"
"1","1","13","1","100","5.1","10.4","0.2","94.924","5.955","331.802","304.191"
"1","1","14","0","66","4.9","9.8","0.2","61.415","5.48","212.612","189.224"
"1","1","15","0","33","4.9","9.1","0.2","30.649","5.207","103.5","83.978"
"1","1","16","0","4","4.8","8.5","0.2","3.704","4.838","10.874","0"
"1","1","17","0","0","4.8","8","0.2","0","4.8","0","0"
"1","1","18","0","0","5.1","7.7","0.2","0","5.1","0","0"
"1","1","19","0","0","5.2","7.4","0.2","0","5.2","0","0"
"1","1","20","0","0","5.3","7.2","0.2","0","5.3","0","0"
"1","1","21","0","0","5.2","7","0.2","0","5.2","0","0"
"1","1","22","0","0","5.2","6.7","0.2","0","5.2","0","0"
"1","1","23","0","0","5.3","6.4","0.2","0","5.3","0","0"
"1","2","0","0","0","5.4","6.2","0.2","0","5.4","0","0"
"1","2","1","0","0","5.4","6.1","0.2","0","5.4","0","0"
"1","2","2","0","0","5.3","6.1","0.2","0","5.3","0","0"
"1","2","3","0","0","5.2","6.1","0.2","0","5.2","0","0"
"1","2","4","0","0","5.1","6","0.2","0","5.1","0","0"
"1","2","5","0","0","4.9","5.7","0.2","0","4.9","0","0"
"1","2","6","0","0","4.6","5.3","0.2","0","4.6","0","0"
"1","2","7","0","0","4.7","5.4","0.2","0","4.7","0","0"
"1","2","8","0","33","5.7","5.9","0.2","31.024","6.118","100.264","80.857"
"1","2","9","0","8","6.8","6.5","0.2","7.417","6.895","23.365","6.683"
"1","2","10","12","189","7.5","6.6","0.2","200.137","10.026","709.7","668.698"
"1","2","11","92","283","8","6.4","0.2","380.536","12.904","1354.787","1290.927"
"1","2","12","837","95","8.2","6.1","0.2","758.003","18.336","2701.859","2590.267"
"1","2","13","840","91","8.2","5.8","0.2","729.357","18.293","2605.522","2497.344"
"1","2","14","26","233","8","5.6","0.2","261.992","11.694","930.904","882.064"
"1","2","15","9","158","7.3","5.3","0.2","173.215","9.832","613.064","575.487"
"1","2","16","520","47","6","4.5","0.2","228.119","9.587","734.923","693.027"
"1","2","17","0","0","4.5","3.9","0.2","0","4.5","0","0"
"1","2","18","0","0","4","3.6","0.2","0","4","0","0"
"1","2","19","0","0","3.6","3.3","0.2","0","3.6","0","0"
"1","2","20","0","0","3.2","3.1","0.2","0","3.2","0","0"
"1","2","21","0","0","3","3","0.2","0","3","0","0"
"1","2","22","0","0","2.8","2.9","0.2","0","2.8","0","0"
"1","2","23","0","0","2.8","3","0.2","0","2.8","0","0"
"1","3","0","0","0","2.9","3.1","0.2","0","2.9","0","0"
"1","3","1","0","0","2.9","3.2","0.2","0","2.9","0","0"
"1","3","2","0","0","2.9","3.2","0.2","0","2.9","0","0"
"1","3","3","0","0","2.9","3.2","0.2","0","2.9","0","0"
"1","3","4","0","0","2.9","3.1","0.2","0","2.9","0","0"
"1","3","5","0","0","2.8","2.8","0.2","0","2.8","0","0"
"1","3","6","0","0","2.8","2.6","0.2","0","2.8","0","0"
"1","3","7","0","0","3.3","2.5","0.2","0","3.3","0","0"
"1","3","8","371","28","5.2","2.6","0.2","163.152","8.653","526.106","491.61"
"1","3","9","662","55","7.4","3.1","0.2","407.681","15.571","1470.946","1402.97"
"1","3","10","65","215","8.3","3","0.2","277.034","13.919","979.811","929.238"
"1","3","11","246","223","8.8","2.9","0.2","427.156","17.619","1507.356","1438.09"
"1","3","12","101","251","9.5","3.3","0.2","346.771","16.187","1216.697","1157.731"
"1","3","13","338","206","10.5","4","0.2","483.75","18.91","1706.056","1629.749"
"1","3","14","68","189","11.2","4.4","0.2","246.256","15.243","864.633","818.142"
"1","3","15","704","68","11.1","4","0.2","444.131","18.845","1583.32","1511.363"
"1","3","16","0","22","9.8","3.1","0.2","20.426","10.203","63.542","45.436"
"1","3","17","0","0","8.4","2.8","0.2","0","8.4","0","0"
"1","3","18","0","0","8.2","2.7","0.2","0","8.2","0","0"
"1","3","19","0","0","7.9","2.5","0.2","0","7.9","0","0"
"1","3","20","0","0","7.8","2.3","0.2","0","7.8","0","0"
"1","3","21","0","0","7.7","2.2","0.2","0","7.7","0","0"
"1","3","22","0","0","7.9","2","0.2","0","7.9","0","0"
"1","3","23","0","0","7.8","1.9","0.2","0","7.8","0","0"
"1","4","0","0","0","7.6","1.9","0.2","0","7.6","0","0"
"1","4","1","0","0","7.6","2","0.2","0","7.6","0","0"
"1","4","2","0","0","7.3","2.2","0.2","0","7.3","0","0"
"1","4","3","0","0","7","2.5","0.2","0","7","0","0"
"1","4","4","0","0","6.9","2.7","0.2","0","6.9","0","0"
"1","4","5","0","0","7","2.8","0.2","0","7","0","0"
"1","4","6","0","0","7.3","2.8","0.2","0","7.3","0","0"
"1","4","7","0","0","8","2.7","0.2","0","8","0","0"
"1","4","8","0","3","9.4","2.6","0.2","2.778","9.46","7.907","0"
"1","4","9","0","25","11.1","2.6","0.2","23.206","11.604","75.327","56.804"
"1","4","10","0","8","12.2","2.9","0.2","7.424","12.353","22.717","6.057"
"1","4","11","15","152","13","3.2","0.2","158.609","16.106","543.17","508.069"
"1","4","12","68","235","13.6","3.4","0.2","302.078","19.331","1042.526","989.731"
"1","4","13","152","237","14.2","3.5","0.2","375.373","21.221","1299.286","1237.393"
"1","4","14","235","201","14.8","3.4","0.2","376.361","21.965","1309.126","1246.884"
"1","4","15","87","157","14.5","2.6","0.2","219.877","19.286","759.357","716.596"
"1","4","16","1","35","13.1","2","0.2","33.56","13.909","105.144","85.564"
"1","4","17","0","0","11.9","2","0.2","0","11.9","0","0"
"1","4","18","0","0","11.3","2.1","0.2","0","11.3","0","0"
"1","4","19","0","0","10.7","2.6","0.2","0","10.7","0","0"
"1","4","20","0","0","10.3","3.3","0.2","0","10.3","0","0"
"1","4","21","0","0","9.8","4.4","0.2","0","9.8","0","0"
"1","4","22","0","0","9.4","5.5","0.2","0","9.4","0","0"
"1","4","23","0","0","9","6.3","0.2","0","9","0","0"
