"PVWatts Hourly PV Performance Data"
"Requested Location","Barcelona"
"Location","Lat, Lng: 41.37, 2.18"
"Latitude (DD)","41.37"
"Longitude (DD)","2.18"
"Elevation (m)","37"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","9.1","3.3","0.2","0","9.1","0","0"
"1","1","1","0","0","9.1","4.7","0.2","0","9.1","0","0"
"1","1","2","0","0","9","5","0.2","0","9","0","0"
"1","1","3","0","0","8.9","5.2","0.2","0","8.9","0","0"
"1","1","4","0","0","8.7","5.3","0.2","0","8.7","0","0"
"1","1","5","0","0","8.5","5.2","0.2","0","8.5","0","0"
"1","1","6","0","0","8.2","4.9","0.2","0","8.2","0","0"
"1","1","7","0","0","7.9","4.3","0.2","0","7.9","0","0"
"1","1","8","0","0","7.9","3.6","0.2","0","0","0","0"
"1","1","9","529","36","9","3.5","0.2","262.484","13.866","896.307","848.693"
"1","1","10","726","53","10.3","3.4","0.2","473.973","19.359","1696.357","1620.395"
"1","1","11","811","62","11.4","3.4","0.2","619.756","23.24","2186.87","2093.526"
"1","1","12","852","66","12.4","3.8","0.2","697.311","24.924","2439.606","2337.307"
"1","1","13","843","71","12.9","4.3","0.2","692.621","24.48","2427.263","2325.402"
"1","1","14","824","67","13.3","4.5","0.2","621.989","23.427","2193.995","2100.399"
"1","1","15","113","157","13.1","4.6","0.2","237.416","16.899","831.182","785.875"
"1","1","16","41","103","12.2","4.5","0.2","147.298","14.565","493.944","460.588"
"1","1","17","0","7","10.9","4.9","0.2","6.659","10.986","12.655","0"
"1","1","18","0","0","10.3","5.6","0.2","0","10.3","0","0"
"1","1","19","0","0","9.6","5.9","0.2","0","9.6","0","0"
"1","1","20","0","0","9","6","0.2","0","9","0","0"
"1","1","21","0","0","8.6","5.9","0.2","0","8.6","0","0"
"1","1","22","0","0","8.2","5.9","0.2","0","8.2","0","0"
"1","1","23","0","0","7.9","5.7","0.2","0","7.9","0","0"
"1","2","0","0","0","7.6","5.5","0.2","0","7.6","0","0"
"1","2","1","0","0","7.3","5.4","0.2","0","7.3","0","0"
"1","2","2","0","0","7.2","5.2","0.2","0","7.2","0","0"
"1","2","3","0","0","7.1","5.2","0.2","0","7.1","0","0"
"1","2","4","0","0","6.9","5.1","0.2","0","6.9","0","0"
"1","2","5","0","0","6.7","4.9","0.2","0","6.7","0","0"
"1","2","6","0","0","6.5","4.5","0.2","0","6.5","0","0"
"1","2","7","0","0","6.4","4.2","0.2","0","6.4","0","0"
"1","2","8","0","0","6.9","4.2","0.2","0","0","0","0"
"1","2","9","574","32","8.4","4.4","0.2","275.375","12.878","944.286","894.972"
"1","2","10","757","47","10","4.2","0.2","483.787","18.212","1740.129","1662.615"
"1","2","11","840","55","11.8","3.9","0.2","625.882","22.885","2212.683","2118.425"
"1","2","12","874","60","13.2","3.6","0.2","701.121","26.178","2442.352","2339.955"
"1","2","13","868","64","13.9","3.4","0.2","697.821","27.225","2421.365","2319.712"
"1","2","14","841","62","14.1","3.2","0.2","628.514","26.5","2192.008","2098.482"
"1","2","15","784","55","13.8","3.1","0.2","491.289","23.656","1730.443","1653.272"
"1","2","16","646","41","12.4","3","0.2","295.11","18.293","971.294","921.023"
"1","2","17","301","15","10.6","3.2","0.2","68.278","11.569","111.709","91.896"
"1","2","18","0","0","9.6","3.4","0.2","0","9.6","0","0"
"1","2","19","0","0","8.8","3.4","0.2","0","8.8","0","0"
"1","2","20","0","0","8.3","3.4","0.2","0","8.3","0","0"
"1","2","21","0","0","7.9","3.4","0.2","0","7.9","0","0"
"1","2","22","0","0","7.7","3.2","0.2","0","7.7","0","0"
"1","2","23","0","0","7.5","3","0.2","0","7.5","0","0"
"1","3","0","0","0","7.2","2.8","0.2","0","7.2","0","0"
"1","3","1","0","0","6.9","2.8","0.2","0","6.9","0","0"
"1","3","2","0","0","6.7","2.8","0.2","0","6.7","0","0"
"1","3","3","0","0","6.4","2.9","0.2","0","6.4","0","0"
"1","3","4","0","0","6.4","3","0.2","0","6.4","0","0"
"1","3","5","0","0","6.4","3","0.2","0","6.4","0","0"
"1","3","6","0","0","6.5","3","0.2","0","6.5","0","0"
"1","3","7","0","0","6.5","3.1","0.2","0","6.5","0","0"
"1","3","8","0","0","7","3","0.2","0","0","0","0"
"1","3","9","608","33","8.7","3","0.2","289.722","14.521","988.401","937.523"
"1","3","10","779","50","10.3","3.2","0.2","499.503","20.159","1784.221","1705.145"
"1","3","11","847","61","11.4","3.1","0.2","642.948","24.293","2260.165","2164.224"
"1","3","12","877","67","12.4","2.8","0.2","712.622","27.428","2469.75","2366.383"
