"PVWatts Hourly PV Performance Data"
"Requested Location","Doha"
"Location","Lat, Lng: 25.29, 51.5"
"Latitude (DD)","25.29"
"Longitude (DD)","51.50"
"Elevation (m)","15"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","18.6","1.9","0.2","0","18.6","0","0"
"1","1","1","0","0","18.5","1.9","0.2","0","18.5","0","0"
"1","1","2","0","0","18.7","2","0.2","0","18.7","0","0"
"1","1","3","0","0","20.1","3.5","0.2","0","20.1","0","0"
"1","1","4","0","0","20.1","3.2","0.2","0","20.1","0","0"
"1","1","5","0","0","20.1","3.1","0.2","0","20.1","0","0"
"1","1","6","0","0","20.5","3.6","0.2","0","0","0","0"
"1","1","7","0","6","21.5","4.4","0.2","5.56","21.591","15.947","0"
"1","1","8","0","58","22.5","4.6","0.2","53.951","23.361","172.137","150.183"
"1","1","9","0","130","23.3","4.7","0.2","122.989","25.232","399.246","369.245"
"1","1","10","603","209","23.8","5","0.2","751.041","35.191","2477.252","2373.619"
"1","1","11","0","128","23.9","5.5","0.2","120.446","25.609","386.473","356.924"
"1","1","12","1","256","23.7","5.8","0.2","250.474","27.133","821.178","776.227"
"1","1","13","1","230","23.1","5.8","0.2","225.41","26.194","743.504","701.305"
"1","1","14","0","20","22.5","5.9","0.2","18.576","22.753","56.353","38.502"
"1","1","15","337","138","21.9","5.9","0.2","308.355","26.104","1044.206","991.352"
"1","1","16","0","17","21.4","5.8","0.2","15.786","21.6","36.525","19.377"
