"PVWatts Hourly PV Performance Data"
"Requested Location","Reykjavik"
"Location","REYKJAVIK, ICELAND"
"Latitude (DD)","64.13"
"Longitude (DD)","-21.90"
"Elevation (m)","61"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","3.6","7.5","0.63","0","3.6","0","0"
"1","1","1","0","0","3.8","8.8","0.63","0","3.8","0","0"
"1","1","2","0","0","4","6.7","0.63","0","4","0","0"
"1","1","3","0","0","4.3","10.8","0.63","0","4.3","0","0"
"1","1","4","0","0","4.4","8.8","0.63","0","4.4","0","0"
"1","1","5","0","0","4.6","9.3","0.63","0","4.6","0","0"
"1","1","6","0","0","4.7","7.2","0.63","0","4.7","0","0"
"1","1","7","0","0","5","5.1","0.63","0","5","0","0"
"1","1","8","0","0","3.5","6.2","0.63","0","3.5","0","0"
"1","1","9","0","0","3","5.7","0.63","0","3","0","0"
"1","1","10","0","0","3","4.1","0.63","0","3","0","0"
"1","1","11","0","1","3.8","6.7","0.63","0.951","3.81","0","0"
"1","1","12","0","10","3.9","5.6","0.63","9.513","4.013","19.218","2.683"
"1","1","13","0","17","4","4.6","0.63","16.319","4.22","33.563","16.519"
"1","1","14","0","15","1.9","3.1","0.63","14.269","2.141","29.614","12.71"
"1","1","15","0","2","3","4.1","0.63","1.903","3.028","3.58","0"
"1","1","16","0","0","2.2","3.9","0.63","0","2.2","0","0"
