"PVWatts Hourly PV Performance Data"
"Requested Location","Tokyo"
"Location","Lat, Lng: 35.69, 139.7"
"Latitude (DD)","35.69"
"Longitude (DD)","139.70"
"Elevation (m)","39"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-0.6","1.9","0.2","0","-0.6","0","0"
"1","1","1","0","0","-0.4","2.1","0.2","0","-0.4","0","0"
"1","1","2","0","0","-0.4","2.2","0.2","0","-0.4","0","0"
"1","1","3","0","0","-0.4","2.1","0.2","0","-0.4","0","0"
"1","1","4","0","0","-0.5","2","0.2","0","-0.5","0","0"
"1","1","5","0","0","-0.5","1.9","0.2","0","-0.5","0","0"
"1","1","6","0","0","0.4","1.9","0.2","0","0","0","0"
"1","1","7","242","33","2.8","2.3","0.2","111.815","5.269","345.141","317.057"
"1","1","8","594","70","4.5","2.7","0.2","378.059","12.599","1366.923","1302.633"
"1","1","9","632","102","9.4","2.4","0.2","531.157","21.437","1878.899","1796.468"
"1","1","10","793","98","11","2.4","0.2","708.308","27.035","2446.767","2344.214"
"1","1","11","836","96","11.9","2.2","0.2","776.128","30.143","2642.483","2532.995"
"1","1","12","856","87","12.4","1.9","0.2","768.112","31.58","2604.228","2496.095"
"1","1","13","812","83","12.5","1.5","0.2","668.224","30.708","2283.152","2186.397"
"1","1","14","717","73","11.8","1","0.2","499.688","27.161","1735.24","1657.9"
"1","1","15","486","54","10.1","0.8","0.2","261.374","18.445","877.885","830.924"
"1","1","16","61","10","8.4","0.9","0.2","28.007","9.1","51.854","34.162"
"1","1","17","0","0","7.4","1","0.2","0","7.4","0","0"
"1","1","18","0","0","6.7","1.1","0.2","0","6.7","0","0"
"1","1","19","0","0","5.8","1.3","0.2","0","5.8","0","0"
"1","1","20","0","0","5.1","1.4","0.2","0","5.1","0","0"
"1","1","21","0","0","4.5","1.4","0.2","0","4.5","0","0"
"1","1","22","0","0","4.2","1.4","0.2","0","4.2","0","0"
"1","1","23","0","0","4","1.4","0.2","0","4","0","0"
"1","2","0","0","0","3.9","1.4","0.2","0","3.9","0","0"
"1","2","1","0","0","3.8","1.3","0.2","0","3.8","0","0"
"1","2","2","0","0","3.9","1.3","0.2","0","3.9","0","0"
"1","2","3","0","0","4.1","1.3","0.2","0","4.1","0","0"
"1","2","4","0","0","4.2","1.3","0.2","0","4.2","0","0"
"1","2","5","0","0","4","1.3","0.2","0","4","0","0"
"1","2","6","0","0","4","1.2","0.2","0","0","0","0"
"1","2","7","0","15","5.5","1.3","0.2","13.916","5.887","41.878","24.54"
"1","2","8","0","46","6.7","1.5","0.2","42.762","7.859","144.697","123.716"
"1","2","9","242","158","9.4","1","0.2","334.153","19.641","1171.803","1114.427"
"1","2","10","355","189","11.4","1.1","0.2","476.77","25.637","1639.383","1565.439"
"1","2","11","764","113","12.6","1.8","0.2","743.388","31.542","2515.319","2410.337"
"1","2","12","764","110","12.9","2.1","0.2","728.239","30.356","2477.828","2374.175"
"1","2","13","469","150","12.9","2","0.2","505.968","25.274","1752.462","1674.511"
"1","2","14","624","88","12.3","1.4","0.2","465.427","25.285","1624.156","1550.752"
"1","2","15","413","59","10.6","0.9","0.2","239.052","18.039","804.342","759.987"
"1","2","16","48","9","9","0.8","0.2","23.949","9.618","44.338","26.913"
"1","2","17","0","0","8.3","0.8","0.2","0","8.3","0","0"
"1","2","18","0","0","7.8","0.8","0.2","0","7.8","0","0"
"1","2","19","0","0","7.1","1","0.2","0","7.1","0","0"
"1","2","20","0","0","6.1","1.2","0.2","0","6.1","0","0"
"1","2","21","0","0","5.1","1.4","0.2","0","5.1","0","0"
"1","2","22","0","0","4.3","1.6","0.2","0","4.3","0","0"
"1","2","23","0","0","3.7","1.6","0.2","0","3.7","0","0"
"1","3","0","0","0","3.3","1.6","0.2","0","3.3","0","0"
"1","3","1","0","0","3.1","1.6","0.2","0","3.1","0","0"
"1","3","2","0","0","2.9","1.7","0.2","0","2.9","0","0"
"1","3","3","0","0","2.7","1.7","0.2","0","2.7","0","0"
"1","3","4","0","0","2.7","1.7","0.2","0","2.7","0","0"
"1","3","5","0","0","2.7","1.7","0.2","0","2.7","0","0"
"1","3","6","0","0","3.3","1.8","0.2","0","0","0","0"
"1","3","7","185","38","5.4","2.3","0.2","102.587","7.671","315.258","288.233"
"1","3","8","474","83","6.8","2.7","0.2","331.323","13.895","1187.437","1129.507"
"1","3","9","610","113","8.9","3.6","0.2","528.635","18.68","1887.87","1805.121"
"1","3","10","700","126","9.6","3.7","0.2","675.214","21.888","2373.943","2273.971"
"1","3","11","739","128","10.2","3.6","0.2","741.421","23.891","2580.67","2473.372"
"1","3","12","754","120","10.6","3.4","0.2","732.925","24.565","2547.746","2441.615"
"1","3","13","699","116","10.8","3.2","0.2","632.663","23.26","2218.591","2124.123"
"1","3","14","552","101","10.1","2.8","0.2","439.652","19.372","1565.591","1494.262"
"1","3","15","379","68","8","2.3","0.2","235.63","13.377","808.794","764.281"
"1","3","16","35","10","5.9","2.5","0.2","19.99","6.257","37.764","20.572"
"1","3","17","0","0","4.9","2.6","0.2","0","4.9","0","0"
"1","3","18","0","0","4.1","2.3","0.2","0","4.1","0","0"
"1","3","19","0","0","3.5","1.9","0.2","0","3.5","0","0"
"1","3","20","0","0","3","1.6","0.2","0","3","0","0"
"1","3","21","0","0","2.8","1.4","0.2","0","2.8","0","0"
"1","3","22","0","0","2.7","1.3","0.2","0","2.7","0","0"
"1","3","23","0","0","2.9","1.1","0.2","0","2.9","0","0"
"1","4","0","0","0","3.1","1","0.2","0","3.1","0","0"
"1","4","1","0","0","3.1","0.9","0.2","0","3.1","0","0"
"1","4","2","0","0","3.1","0.9","0.2","0","3.1","0","0"
"1","4","3","0","0","3.1","0.8","0.2","0","3.1","0","0"
"1","4","4","0","0","3.2","0.7","0.2","0","3.2","0","0"
"1","4","5","0","0","3.1","0.8","0.2","0","3.1","0","0"
"1","4","6","0","0","3.1","1.1","0.2","0","0","0","0"
"1","4","7","216","38","4.8","1.5","0.2","110.55","7.683","338.751","310.894"
"1","4","8","518","82","6.3","1.7","0.2","352.825","15.483","1258.906","1198.443"
"1","4","9","673","99","9.8","2.5","0.2","553.416","22.112","1954.065","1868.97"
"1","4","10","776","104","11.5","2.8","0.2","706.831","26.385","2446.314","2343.778"
"1","4","11","805","106","12.5","2.9","0.2","765.005","28.324","2621.103","2512.372"
"1","4","12","793","106","13.1","2.9","0.2","747.937","28.573","2562.123","2455.483"
"1","4","13","743","101","13","3","0.2","647.825","26.19","2248.535","2153.006"
"1","4","14","653","87","12","2.9","0.2","483.389","22.023","1708.994","1632.583"
"1","4","15","448","62","9.4","3.1","0.2","257.748","14.504","883.363","836.208"
"1","4","16","45","11","6.9","3.5","0.2","23.413","7.252","43.96","26.548"
"1","4","17","0","0","5.3","3.6","0.2","0","5.3","0","0"
"1","4","18","0","0","4.1","3.3","0.2","0","4.1","0","0"
"1","4","19","0","0","3","2.9","0.2","0","3","0","0"
"1","4","20","0","0","2.3","2.6","0.2","0","2.3","0","0"
"1","4","21","0","0","1.7","2.4","0.2","0","1.7","0","0"
"1","4","22","0","0","1.3","2.2","0.2","0","1.3","0","0"
"1","4","23","0","0","1.1","2.2","0.2","0","1.1","0","0"
"1","5","0","0","0","0.9","2.2","0.2","0","0.9","0","0"
"1","5","1","0","0","0.8","2.3","0.2","0","0.8","0","0"
"1","5","2","0","0","0.8","2.3","0.2","0","0.8","0","0"
"1","5","3","0","0","0.7","2.4","0.2","0","0.7","0","0"
"1","5","4","0","0","0.6","2.5","0.2","0","0.6","0","0"
"1","5","5","0","0","0.4","2.4","0.2","0","0.4","0","0"
"1","5","6","0","0","1","2.4","0.2","0","0","0","0"
"1","5","7","333","38","3.1","3","0.2","140.252","5.822","430.52","399.41"
"1","5","8","578","72","4.5","3.6","0.2","370.989","11.352","1346.053","1282.503"
"1","5","9","755","87","6.4","4.8","0.2","591.823","15.657","2142.743","2050.963"
"1","5","10","748","111","7.1","5","0.2","694.539","17.673","2481.458","2377.676"
"1","5","11","874","95","7.5","5.1","0.2","807.693","19.638","2858.506","2741.364"
"1","5","12","872","93","7.6","5.3","0.2","791.84","19.213","2809.57","2694.162"
"1","5","13","840","86","7.4","5.3","0.2","696.77","17.63","2498.657","2394.265"
"1","5","14","761","74","6.7","4.9","0.2","529.012","14.874","1924.59","1840.54"
"1","5","15","485","62","5","4.2","0.2","273.529","9.583","957.412","907.633"
"1","5","16","87","14","3.1","3.8","0.2","39.967","3.67","77.16","58.572"
"1","5","17","0","0","2.1","3.7","0.2","0","2.1","0","0"
"1","5","18","0","0","1.3","3.4","0.2","0","1.3","0","0"
"1","5","19","0","0","0.8","3.2","0.2","0","0.8","0","0"
"1","5","20","0","0","0.3","3.1","0.2","0","0.3","0","0"
"1","5","21","0","0","0","3.1","0.2","0","0","0","0"
"1","5","22","0","0","-0.4","3.1","0.2","0","-0.4","0","0"
"1","5","23","0","0","-0.7","3.1","0.2","0","-0.7","0","0"
"1","6","0","0","0","-1","3","0.2","0","-1","0","0"
"1","6","1","0","0","-1.2","2.8","0.2","0","-1.2","0","0"
"1","6","2","0","0","-1.3","2.7","0.2","0","-1.3","0","0"
"1","6","3","0","0","-1.3","2.6","0.2","0","-1.3","0","0"
"1","6","4","0","0","-1.3","2.5","0.2","0","-1.3","0","0"
"1","6","5","0","0","-1.3","2.4","0.2","0","-1.3","0","0"
"1","6","6","0","0","-0.5","2.3","0.2","0","0","0","0"
