"PVWatts Hourly PV Performance Data"
"Requested Location","Yaoundé"
"Location","Lat, Lng: 3.85, 11.54"
"Latitude (DD)","3.85"
"Longitude (DD)","11.54"
"Elevation (m)","720"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","19.4","0.6","0.2","0","19.4","0","0"
"1","1","1","0","0","19.1","0.6","0.2","0","19.1","0","0"
"1","1","2","0","0","18.5","0.5","0.2","0","18.5","0","0"
"1","1","3","0","0","18.5","0.4","0.2","0","18.5","0","0"
"1","1","4","0","0","18.5","0.4","0.2","0","18.5","0","0"
"1","1","5","0","0","18.6","0.4","0.2","0","18.6","0","0"
"1","1","6","0","0","19.1","0.4","0.2","0","0","0","0"
"1","1","7","137","90","20.7","0.4","0.2","146.341","25.962","478.166","445.369"
"1","1","8","380","181","22.8","0.4","0.2","416.935","37.847","1358.817","1294.814"
"1","1","9","549","227","24.8","0.4","0.2","668.772","48.861","2071.721","1982.457"
"1","1","10","628","257","26.3","0.5","0.2","846.043","55.791","2524.695","2419.381"
"1","1","11","688","266","27.4","0.7","0.2","963.684","59.113","2820.364","2704.573"
"1","1","12","716","265","28.1","0.8","0.2","1003.066","60.221","2917.712","2798.471"
"1","1","13","761","225","28.2","0.9","0.2","974.153","58.611","2864.191","2746.847"
"1","1","14","730","206","27.9","0.9","0.2","850.656","54.498","2564.545","2457.818"
"1","1","15","664","183","27.3","0.8","0.2","668.474","48.819","2085.588","1995.833"
"1","1","16","443","173","26.4","0.6","0.2","414.402","40.533","1343.555","1280.093"
"1","1","17","226","93","25","0.5","0.2","172.649","30.952","530.634","495.978"
"1","1","18","0","0","23.9","0.6","0.2","0","23.9","0","0"
"1","1","19","0","0","23.5","0.6","0.2","0","23.5","0","0"
"1","1","20","0","0","23.2","0.5","0.2","0","23.2","0","0"
"1","1","21","0","0","22.9","0.4","0.2","0","22.9","0","0"
"1","1","22","0","0","22.5","0.4","0.2","0","22.5","0","0"
"1","1","23","0","0","22","0.4","0.2","0","22","0","0"
"1","2","0","0","0","21.1","0.4","0.2","0","21.1","0","0"
"1","2","1","0","0","20.2","0.5","0.2","0","20.2","0","0"
"1","2","2","0","0","19.3","0.5","0.2","0","19.3","0","0"
"1","2","3","0","0","18.7","0.5","0.2","0","18.7","0","0"
"1","2","4","0","0","18.3","0.5","0.2","0","18.3","0","0"
"1","2","5","0","0","18","0.5","0.2","0","18","0","0"
"1","2","6","0","0","18.1","0.5","0.2","0","0","0","0"
"1","2","7","268","81","19.7","0.5","0.2","196.313","26.545","643.507","604.851"
"1","2","8","552","137","22.4","0.4","0.2","479.129","39.71","1559.824","1488.699"
"1","2","9","709","163","24.9","0.6","0.2","728.878","49.663","2257.919","2162.057"
"1","2","10","702","225","26.7","0.8","0.2","880.396","54.937","2639.467","2530.086"
"1","2","11","763","225","27.8","0.9","0.2","995.456","58.865","2918.823","2799.544"
"1","2","12","789","223","28.5","0.9","0.2","1033.326","60.74","3000.944","2878.754"
"1","2","13","93","539","28.7","0.9","0.2","632.005","48.341","1912.616","1828.99"
"1","2","14","593","284","28.5","0.9","0.2","810.869","53.834","2445.086","2342.593"
"1","2","15","521","245","28.1","0.7","0.2","629.305","48.897","1955.697","1870.545"
